NR,RA,DEC,X,Y,V,Age
1000098,84.728729,-69.074028,1322.97,2908.99,21.22,24.8
1000099,84.728638,-69.076508,1326.09,2679.58,19.39,3.4
1000100,84.728554,-69.069450,1328.55,3331.14,20.09,5.6
1000101,84.728378,-69.083855,1335.06,2001.88,20.49,6.2
1000102,84.727913,-69.080658,1350.18,2296.61,22.91,11.5
1000103,84.727806,-69.075554,1353.57,2767.83,21.81,31.2
1000104,84.727623,-69.074493,1359.53,2865.84,22.50,16.4
1000105,84.727493,-69.091408,1364.70,1304.43,19.13,2.9
1000106,84.727173,-69.096695,1375.52,816.52,19.94,0.3
1000107,84.727104,-69.094490,1377.75,1020.17,22.19,1.3
1000108,84.726921,-69.070457,1382.28,3238.61,23.50,10.5
1000109,84.726715,-69.068291,1389.14,3438.14,21.92,30.8
1000110,84.726715,-69.078804,1389.74,2468.11,22.85,34.0
1000111,84.726562,-69.061714,1393.66,4045.08,21.91,13.3
1000112,84.726501,-69.079163,1396.63,2434.84,20.34,6.2
1000113,84.726456,-69.074982,1398.09,2821.12,21.76,12.5
1000114,84.726295,-69.073593,1403.17,2949.01,19.62,4.2
1000115,84.725952,-69.076576,1414.75,2673.93,23.72,42.3
1000116,84.725601,-69.087555,1426.69,1660.13,23.56,39.7
1000117,84.724884,-69.080315,1450.18,2328.91,23.06,9.8
1000118,84.724808,-69.075058,1452.35,2813.75,20.34,5.8
1000119,84.724823,-69.086182,1452.35,1787.22,20.99,7.7
1000120,84.724495,-69.068314,1462.20,3436.46,23.00,16.2
1000121,84.723976,-69.097984,1480.84,697.40,24.23,11.2
1000122,84.723724,-69.075073,1488.08,2812.44,22.42,17.0
1000123,84.723465,-69.067444,1496.22,3516.26,21.81,7.7
1000124,84.723465,-69.068497,1496.30,3419.74,20.40,6.8
1000125,84.723389,-69.085091,1499.63,1887.60,20.53,3.0
1000126,84.723305,-69.077721,1501.88,2568.36,23.52,23.8
1000127,84.723221,-69.056274,1503.62,4547.70,22.55,12.9
1000128,84.723183,-69.067650,1505.42,3497.23,22.63,31.7
1000129,84.722923,-69.072220,1514.31,3075.53,19.80,4.9
1000130,84.722778,-69.087395,1519.72,1674.94,20.68,8.2
1000131,84.722725,-69.087799,1521.49,1637.88,22.02,13.7
1000132,84.722466,-69.065865,1529.13,3662.50,20.27,6.4
1000133,84.722466,-69.078384,1529.69,2506.89,19.95,5.0
1000134,84.722298,-69.074944,1535.02,2824.68,22.16,12.4
1000135,84.722221,-69.068474,1537.30,3421.71,22.89,11.2
1000136,84.722160,-69.081055,1539.85,2260.10,22.44,32.4
1000137,84.722137,-69.070839,1540.02,3203.48,18.44,1.7
1000138,84.721939,-69.098038,1547.88,692.96,23.78,17.4
