NR,RA,DEC,X,Y,V,Age
1000422,84.681175,-69.085350,2890.53,1863.82,21.09,3.9
1000423,84.681061,-69.090904,2894.13,1351.32,20.77,1.2
1000424,84.681007,-69.084251,2896.09,1965.39,23.99,5.1
1000425,84.680946,-69.079330,2898.12,2420.02,20.54,4.5
1000426,84.680908,-69.094345,2899.17,1033.99,19.82,5.0
1000427,84.680901,-69.081390,2899.62,2229.53,21.89,29.4
1000428,84.680862,-69.084770,2900.95,1917.89,20.49,0.0
1000429,84.680717,-69.072060,2905.90,3091.05,22.27,15.7
1000430,84.680618,-69.072990,2909.15,3005.06,22.49,9.0
1000431,84.680504,-69.059380,2913.06,4261.06,19.85,5.0
1000432,84.680420,-69.084114,2915.53,1978.16,21.02,1.2
1000433,84.680359,-69.074181,2917.55,2894.89,21.92,2.2
1000434,84.680344,-69.103302,2917.68,206.96,21.65,28.7
1000435,84.680313,-69.087952,2918.99,1623.64,20.78,1.2
1000436,84.680130,-69.074135,2925.24,2899.52,20.89,1.6
1000437,84.680061,-69.072121,2927.40,3085.11,21.95,5.9
1000438,84.680046,-69.083046,2927.75,2076.71,22.86,12.3
1000439,84.680038,-69.069199,2928.30,3354.77,20.49,3.3
1000440,84.680016,-69.071915,2929.00,3104.15,24.12,46.1
1000441,84.679993,-69.085670,2929.39,1834.87,20.73,5.6
1000442,84.679955,-69.079170,2930.91,2434.41,21.62,10.8
1000443,84.679840,-69.070114,2934.82,3270.21,22.37,3.6
1000444,84.679749,-69.093880,2937.27,1076.70,22.72,34.5
1000445,84.679749,-69.081421,2937.50,2226.88,21.64,26.3
1000446,84.679520,-69.092949,2944.90,1162.74,24.25,24.8
1000447,84.679489,-69.085724,2946.07,1829.93,22.08,6.8
1000448,84.679390,-69.073311,2949.46,2975.43,22.80,8.1
1000449,84.679054,-69.076080,2960.64,2719.44,21.09,0.2
1000450,84.678848,-69.088585,2967.26,1565.26,18.82,2.4
1000451,84.678780,-69.101067,2969.15,413.53,19.73,4.7
1000452,84.678513,-69.078041,2978.50,2538.96,20.20,5.4
1000453,84.678406,-69.095078,2981.59,966.19,21.67,28.2
1000454,84.678383,-69.087540,2982.48,1662.09,21.65,4.9
1000455,84.678276,-69.084351,2986.02,1956.06,22.23,32.2
1000456,84.678261,-69.079002,2986.59,2450.06,22.69,0.6
1000457,84.678078,-69.093948,2992.43,1070.32,20.18,6.2
1000458,84.677933,-69.089165,2997.21,1511.67,20.33,3.7
1000459,84.677933,-69.084297,2997.34,1961.55,19.04,1.6
1000460,84.677887,-69.087280,2998.94,1685.95,23.04,2.2
1000461,84.677834,-69.080345,3000.68,2325.80,21.53,9.7
1000462,84.677788,-69.078850,3002.18,2463.82,20.83,5.0
1000463,84.677704,-69.090172,3004.84,1418.83,20.47,5.5
1000464,84.677490,-69.102219,3011.67,307.41,20.27,0.2
1000465,84.677185,-69.082077,3022.09,2166.48,20.78,7.1
1000466,84.677094,-69.093254,3024.73,1134.20,22.78,13.2
1000467,84.676880,-69.071480,3032.29,3144.24,20.87,1.2
1000468,84.676590,-69.057785,3042.14,4408.17,18.25,0.7
1000469,84.676544,-69.075005,3043.43,2819.12,20.20,3.4
1000470,84.676437,-69.069717,3046.87,3307.11,22.36,12.7
1000471,84.676399,-69.090950,3047.85,1347.47,20.69,4.7
1000472,84.676369,-69.079224,3049.11,2429.24,20.19,1.9
1000473,84.676353,-69.073616,3049.68,2946.95,21.34,2.1
1000474,84.676132,-69.086205,3056.58,1785.35,20.12,6.2
1000475,84.676048,-69.073143,3059.79,2990.74,20.13,6.0
1000476,84.675972,-69.070930,3062.34,3194.85,22.35,14.2
1000477,84.675934,-69.083328,3063.28,2050.88,21.83,0.5
1000478,84.675850,-69.080643,3066.03,2298.69,19.61,3.4
1000479,84.675751,-69.071671,3069.62,3126.76,21.68,3.6
1000480,84.675194,-69.070969,3088.00,3191.28,22.57,1.8
1000481,84.675163,-69.077087,3088.89,2626.96,20.77,5.2
1000482,84.675133,-69.067535,3090.08,3508.64,20.81,4.7
1000483,84.674889,-69.079613,3097.72,2393.35,21.31,0.7
1000484,84.674889,-69.081795,3097.88,2192.49,19.79,4.0
1000485,84.674820,-69.087753,3099.84,1642.14,20.96,8.5
1000486,84.674751,-69.070290,3102.56,3253.88,23.17,5.0
1000487,84.674698,-69.072975,3104.37,3005.95,19.90,16.8
1000488,84.674454,-69.076340,3112.11,2695.67,21.27,8.0
1000489,84.674370,-69.079750,3115.03,2380.79,21.63,7.0
1000490,84.674301,-69.097382,3116.69,753.20,20.04,3.6
1000491,84.674240,-69.062485,3119.54,3974.55,19.51,2.2
1000492,84.674026,-69.067200,3126.43,3539.46,19.85,4.9
1000493,84.673843,-69.089745,3131.91,1458.43,21.23,5.2
1000494,84.673851,-69.057838,3132.41,4403.65,19.86,3.7
1000495,84.673775,-69.070282,3134.73,3254.56,24.39,37.8
1000496,84.673630,-69.090164,3139.16,1419.65,24.21,1.2
1000497,84.673630,-69.077171,3139.47,2619.13,21.28,1.0
1000498,84.673576,-69.057564,3141.50,4428.56,21.46,23.4
1000499,84.673531,-69.062965,3142.91,3930.31,18.35,1.5
1000500,84.673454,-69.076965,3145.21,2637.66,18.84,0.9
1000501,84.673447,-69.070595,3145.57,3225.78,21.50,8.0
1000502,84.673386,-69.097618,3146.87,731.67,19.22,1.3
1000503,84.673386,-69.070786,3147.52,3208.21,22.56,2.8
1000504,84.673355,-69.071312,3148.47,3159.61,23.82,40.7
1000505,84.673347,-69.070740,3148.73,3212.33,24.46,31.9
1000506,84.673218,-69.070457,3153.19,3238.52,23.48,41.0
1000507,84.673164,-69.075562,3154.62,2767.33,18.65,1.8
1000508,84.673065,-69.087936,3157.62,1625.24,19.46,3.6
1000509,84.673058,-69.080620,3158.21,2300.54,18.63,0.0
1000510,84.673019,-69.061394,3159.91,4074.91,18.85,2.0
1000511,84.673004,-69.058731,3160.38,4321.10,20.02,4.9
1000512,84.672935,-69.073479,3162.23,2959.97,20.81,22.5
1000513,84.672867,-69.068092,3164.80,3457.12,20.32,0.9
1000514,84.672806,-69.080917,3166.41,2273.05,19.67,3.8
1000515,84.672798,-69.074348,3166.75,2879.20,20.25,0.5
1000516,84.672699,-69.074875,3170.06,2830.58,21.67,0.0
1000517,84.672600,-69.087364,3173.01,1677.81,19.05,1.4
1000518,84.672501,-69.086853,3176.42,1725.56,21.82,31.2
1000519,84.672508,-69.070679,3176.47,3218.05,23.68,19.7
1000520,84.672508,-69.059258,3176.78,4272.65,19.18,2.5
1000521,84.672432,-69.061234,3179.33,4090.01,18.53,0.9
1000522,84.672409,-69.077293,3179.51,2608.04,18.94,2.1
1000523,84.672379,-69.084076,3180.44,1981.82,21.12,0.8
1000524,84.672379,-69.078110,3180.47,2532.28,19.91,3.9
1000525,84.672356,-69.092194,3180.99,1232.30,20.67,8.4
1000526,84.672295,-69.070595,3183.43,3225.92,23.10,0.7
1000527,84.672089,-69.083282,3190.01,2054.59,18.46,0.5
1000528,84.672096,-69.072151,3190.07,3082.35,21.37,25.8
1000529,84.672050,-69.077042,3191.42,2631.15,20.87,5.4
1000530,84.672012,-69.079887,3192.53,2367.95,23.32,21.8
1000531,84.671761,-69.083496,3200.79,2034.82,22.61,5.3
1000532,84.671745,-69.094391,3200.99,1029.24,19.76,2.2
1000533,84.671684,-69.097824,3202.79,712.92,19.07,0.0
1000534,84.671585,-69.071419,3206.83,3149.59,21.47,12.8
1000535,84.671371,-69.086937,3213.44,1717.70,20.30,1.6
1000536,84.671280,-69.090942,3216.39,1347.67,21.75,2.9
1000537,84.671150,-69.075310,3221.24,2790.96,21.02,0.2
1000538,84.671097,-69.082047,3222.83,2169.25,20.27,7.1
1000539,84.671059,-69.073563,3224.19,2952.33,18.65,2.0
1000540,84.671013,-69.087379,3225.39,1676.83,18.87,2.4
1000541,84.670868,-69.080017,3230.39,2355.94,19.01,1.6
1000542,84.670868,-69.074883,3230.48,2830.13,22.00,5.3
1000543,84.670578,-69.071693,3240.02,3124.86,20.72,2.2
1000544,84.670563,-69.084244,3240.26,1966.35,22.67,20.6
1000545,84.670555,-69.071609,3240.99,3132.19,20.66,5.1
1000546,84.670517,-69.077324,3242.05,2604.52,21.81,0.5
1000547,84.670464,-69.097710,3243.02,723.02,22.68,10.6
1000548,84.670380,-69.074806,3246.47,2837.32,20.34,5.8
1000549,84.670357,-69.071999,3247.32,3096.26,18.27,1.0
1000550,84.670204,-69.082512,3252.16,2125.95,21.11,0.8
1000551,84.670158,-69.091942,3253.36,1255.35,21.75,1.1
1000552,84.670059,-69.069687,3257.36,3309.65,19.80,3.6
1000553,84.670044,-69.071465,3257.73,3145.40,19.39,2.5
1000554,84.670021,-69.086311,3257.98,1775.19,22.88,4.5
1000555,84.669960,-69.090973,3260.02,1344.98,21.43,8.2
1000556,84.669937,-69.073669,3261.25,2942.19,19.21,2.0
1000557,84.669930,-69.075989,3261.46,2728.06,20.19,0.3
1000558,84.669907,-69.068512,3262.35,3418.47,21.28,6.3
1000559,84.669754,-69.071823,3267.34,3112.41,22.64,2.4
1000560,84.669708,-69.088425,3268.16,1580.29,21.68,3.3
1000561,84.669678,-69.069191,3269.86,3355.53,22.92,0.0
1000562,84.669640,-69.088120,3270.63,1608.37,22.03,5.6
1000563,84.669647,-69.075165,3270.70,2804.04,22.48,1.4
1000564,84.669579,-69.084137,3272.80,1976.20,22.97,1.8
1000565,84.669563,-69.075096,3273.54,2810.80,19.78,1.4
1000566,84.669510,-69.103271,3274.27,209.94,20.34,6.5
1000567,84.669472,-69.073128,3276.58,2992.11,20.26,0.5
1000568,84.669342,-69.069580,3280.97,3319.86,22.68,3.4
1000569,84.669312,-69.087875,3281.47,1630.97,20.39,6.8
1000570,84.669144,-69.103310,3286.30,206.64,20.20,6.5
1000571,84.669167,-69.077568,3286.51,2582.12,19.73,0.2
1000572,84.668991,-69.090958,3291.70,1346.67,22.87,5.4
1000573,84.668953,-69.090469,3293.00,1391.15,21.34,6.1
1000574,84.668884,-69.074341,3295.76,2880.07,20.59,1.7
1000575,84.668854,-69.069832,3296.98,3296.70,22.62,5.8
1000576,84.668839,-69.084579,3297.07,1935.11,22.39,7.5
1000577,84.668808,-69.080589,3298.14,2303.31,21.51,0.6
1000578,84.668770,-69.083542,3299.27,2031.04,22.06,1.7
1000579,84.668732,-69.075409,3300.86,2781.54,21.29,3.0
1000580,84.668602,-69.072464,3305.13,3053.45,22.04,0.5
1000581,84.668510,-69.083038,3307.84,2077.62,23.14,0.7
1000582,84.668427,-69.082306,3310.72,2144.98,20.20,0.6
1000583,84.668427,-69.077972,3310.89,2545.26,20.82,6.7
1000584,84.668419,-69.074852,3311.29,2832.97,19.70,4.2
1000585,84.668381,-69.078125,3312.45,2530.83,22.55,1.5
1000586,84.668327,-69.084244,3313.93,1966.14,22.81,1.6
1000587,84.668304,-69.078201,3314.80,2523.83,21.81,0.5
1000588,84.668320,-69.065979,3314.82,3651.99,21.00,0.5
1000589,84.668259,-69.099159,3315.61,589.48,19.52,2.6
1000590,84.668236,-69.078255,3317.04,2518.60,22.16,0.3
1000591,84.668213,-69.103081,3317.14,227.25,19.47,4.0
1000592,84.668205,-69.074600,3318.16,2856.41,21.89,1.6
1000593,84.668182,-69.084335,3318.68,1958.00,22.55,0.8
1000594,84.668175,-69.059883,3319.73,4214.78,20.41,6.8
1000595,84.668129,-69.084297,3320.47,1961.49,23.23,19.0
1000596,84.668114,-69.097771,3320.57,717.58,19.72,4.5
1000597,84.668121,-69.082283,3320.69,2147.30,20.18,4.3
1000598,84.668060,-69.066322,3323.38,3620.23,18.88,2.5
1000599,84.667877,-69.071602,3329.25,3132.84,19.58,4.3
1000600,84.667847,-69.086411,3329.58,1766.37,23.25,10.9
1000601,84.667816,-69.085327,3330.73,1866.46,23.82,3.9
1000602,84.667747,-69.072296,3333.52,3068.76,21.93,1.8
1000603,84.667564,-69.081017,3339.12,2263.69,19.89,1.1
1000604,84.667519,-69.069656,3340.97,3312.67,21.28,3.4
1000605,84.667519,-69.070580,3341.14,3227.55,23.03,1.5
1000606,84.667480,-69.078720,3341.93,2475.72,20.40,1.9
1000607,84.667480,-69.078690,3342.13,2478.71,20.20,1.6
1000608,84.667473,-69.075287,3342.28,2792.85,18.86,0.8
1000609,84.667435,-69.070290,3343.78,3254.00,20.14,1.0
1000610,84.667366,-69.103043,3344.95,230.93,22.90,13.0
1000611,84.667297,-69.088127,3347.78,1607.75,20.95,0.9
1000612,84.667259,-69.083405,3349.21,2043.46,23.26,0.8
1000613,84.667198,-69.097000,3350.74,788.72,18.90,2.0
1000614,84.667168,-69.090546,3351.81,1384.17,22.64,12.5
1000615,84.667160,-69.077805,3352.53,2560.43,19.80,2.6
1000616,84.667091,-69.089645,3354.42,1467.25,23.00,0.8
1000617,84.667091,-69.075134,3355.02,2807.17,18.03,1.2
1000618,84.667061,-69.080757,3355.75,2287.58,20.20,1.1
1000619,84.666924,-69.082664,3360.30,2111.94,21.74,2.2
1000620,84.666924,-69.080399,3360.37,2321.36,21.58,0.2
1000621,84.666840,-69.070251,3363.32,3257.86,20.97,0.3
1000622,84.666817,-69.087273,3363.67,1686.33,22.39,6.9
1000623,84.666763,-69.100235,3364.88,490.25,19.97,5.7
1000624,84.666756,-69.097198,3365.26,770.01,20.10,6.1
1000625,84.666771,-69.079521,3365.27,2401.88,20.73,2.1
1000626,84.666710,-69.080002,3367.32,2357.69,20.23,1.8
1000627,84.666641,-69.078537,3369.70,2493.06,19.42,1.1
1000628,84.666595,-69.070526,3371.57,3232.57,20.96,3.6
1000629,84.666542,-69.088295,3372.66,1592.30,19.58,4.1
1000630,84.666519,-69.071045,3373.89,3184.62,20.49,1.5
1000631,84.666328,-69.087395,3379.60,1674.97,23.17,20.8
1000632,84.666214,-69.081520,3383.77,2217.55,20.58,3.7
1000633,84.666168,-69.070419,3385.65,3242.07,20.60,0.2
1000634,84.666107,-69.071281,3387.49,3162.63,18.74,1.8
1000635,84.666100,-69.071640,3387.81,3129.76,21.72,1.4
1000636,84.666069,-69.082176,3388.42,2156.85,19.91,3.9
1000637,84.666077,-69.070312,3388.48,3251.93,22.88,12.2
1000638,84.666054,-69.085762,3388.68,1826.20,21.24,1.5
1000639,84.665947,-69.080139,3392.57,2344.72,20.24,3.1
1000640,84.665909,-69.068588,3394.17,3410.88,21.81,28.0
1000641,84.665901,-69.075607,3394.21,2763.28,19.63,3.0
1000642,84.665810,-69.069908,3397.41,3289.60,19.79,1.9
1000643,84.665764,-69.076370,3398.63,2692.75,18.98,1.6
1000644,84.665688,-69.082619,3400.91,2116.09,21.25,5.1
1000645,84.665665,-69.073189,3402.03,2986.28,20.49,4.4
1000646,84.665611,-69.077301,3403.76,2606.91,18.86,2.0
1000647,84.665588,-69.068024,3404.72,3463.25,19.37,1.6
1000648,84.665527,-69.079475,3406.42,2406.13,20.66,4.1
1000649,84.665527,-69.075401,3406.48,2782.57,20.34,0.4
1000650,84.665443,-69.061340,3409.67,4079.91,20.75,5.5
1000651,84.665359,-69.080521,3411.84,2309.83,19.71,0.4
1000652,84.665337,-69.078041,3412.62,2538.82,18.98,0.8
1000653,84.665306,-69.071800,3413.92,3114.78,21.48,6.2
1000654,84.665283,-69.082916,3414.22,2088.75,21.60,2.4
1000655,84.665184,-69.086899,3417.45,1721.09,20.04,6.2
1000656,84.665092,-69.078026,3420.85,2539.77,18.24,1.0
1000657,84.665001,-69.087608,3423.36,1655.46,19.73,4.7
1000658,84.664925,-69.063110,3426.89,3916.94,19.38,1.0
1000659,84.664879,-69.063164,3428.20,3912.09,19.94,2.8
1000660,84.664818,-69.077408,3429.74,2597.24,19.32,1.6
1000661,84.664742,-69.091614,3431.90,1285.83,22.95,0.8
1000662,84.664734,-69.085060,3432.21,1890.42,21.52,4.5
1000663,84.664711,-69.074471,3433.53,2868.07,21.57,4.6
1000664,84.664505,-69.070190,3440.44,3263.53,23.27,38.1
1000665,84.664360,-69.088913,3444.42,1535.41,21.58,12.2
1000666,84.664337,-69.076904,3445.74,2643.53,18.93,2.0
1000667,84.664284,-69.084808,3447.07,1913.89,20.01,2.2
1000668,84.664253,-69.070129,3448.78,3268.64,21.60,1.4
1000669,84.664024,-69.068207,3456.42,3446.64,19.64,4.2
1000670,84.663994,-69.076103,3457.02,2717.61,19.39,0.7
1000671,84.663925,-69.080551,3459.08,2306.85,20.13,0.4
1000672,84.663910,-69.076698,3459.75,2662.39,19.45,3.4
1000673,84.663795,-69.083748,3463.28,2011.88,21.52,0.5
1000674,84.663780,-69.089684,3463.59,1463.97,21.91,3.5
1000675,84.663750,-69.086861,3464.61,1724.80,22.89,34.9
1000676,84.663765,-69.075302,3464.67,2791.15,18.05,1.2
1000677,84.663704,-69.062561,3466.97,3967.53,20.55,5.9
1000678,84.663681,-69.076607,3467.43,2671.17,20.15,0.7
1000679,84.663666,-69.067162,3468.09,3542.93,20.99,3.2
1000680,84.663651,-69.079391,3468.11,2413.89,19.52,1.1
1000681,84.663651,-69.071869,3468.61,3108.41,19.72,4.7
1000682,84.663597,-69.093552,3469.42,1106.66,20.45,0.4
1000683,84.663567,-69.076302,3471.05,2698.83,18.94,1.3
1000684,84.663528,-69.082016,3472.05,2171.40,20.59,0.2
1000685,84.663490,-69.092712,3473.01,1184.19,22.07,1.3
1000686,84.663406,-69.085121,3476.16,1884.74,21.63,0.5
1000687,84.663368,-69.082130,3477.49,2160.84,21.42,0.6
1000688,84.663322,-69.082512,3478.87,2126.05,21.14,1.4
1000689,84.663208,-69.075821,3483.02,2743.67,20.06,2.0
1000690,84.663147,-69.063889,3485.49,3844.67,18.97,2.6
1000691,84.663017,-69.070221,3489.49,3260.16,20.53,2.4
1000692,84.662979,-69.076706,3490.40,2661.79,20.11,1.9
1000693,84.662811,-69.076614,3496.01,2670.28,19.56,1.1
1000694,84.662682,-69.067307,3500.64,3529.13,19.82,1.0
1000695,84.662666,-69.079666,3500.77,2388.63,18.55,1.7
1000696,84.662544,-69.070053,3505.17,3275.70,19.25,2.5
1000697,84.662476,-69.100647,3506.05,452.19,20.24,4.0
1000698,84.662468,-69.070000,3507.62,3280.97,21.14,1.4
1000699,84.662384,-69.071121,3510.37,3177.08,20.14,6.3
1000700,84.662323,-69.101562,3510.90,367.22,18.75,1.9
1000701,84.662338,-69.077217,3511.53,2614.27,20.51,0.5
1000702,84.662300,-69.061371,3513.50,4077.12,23.71,14.2
1000703,84.662193,-69.083313,3516.08,2052.03,21.45,1.0
1000704,84.662186,-69.083710,3516.43,2015.10,22.87,2.4
1000705,84.662170,-69.063103,3517.66,3917.48,20.60,2.0
1000706,84.662148,-69.075851,3517.99,2740.77,19.71,4.4
1000707,84.662094,-69.102882,3518.49,245.41,19.90,3.4
1000708,84.662064,-69.083717,3520.34,2014.61,22.26,5.3
1000709,84.662025,-69.076157,3521.81,2712.49,18.55,1.7
1000710,84.661926,-69.084641,3524.71,1929.48,20.84,6.3
1000711,84.661797,-69.083366,3529.14,2046.97,21.94,0.7
1000712,84.661758,-69.085495,3530.30,1850.61,23.09,1.1
1000713,84.661766,-69.075523,3530.50,2771.00,18.80,2.2
1000714,84.661728,-69.101601,3530.50,363.66,20.74,3.3
1000715,84.661507,-69.080292,3538.77,2330.70,19.45,1.2
1000716,84.661385,-69.076210,3543.06,2707.75,19.17,1.3
1000717,84.661377,-69.074921,3543.26,2826.51,18.32,1.5
1000718,84.661316,-69.081070,3545.06,2259.20,22.38,12.7
1000719,84.661209,-69.085709,3548.39,1830.64,22.33,4.5
1000720,84.661087,-69.068275,3553.09,3440.16,21.27,2.5
1000721,84.660957,-69.077431,3557.13,2595.14,20.54,0.3
1000722,84.660774,-69.076836,3563.18,2649.88,20.10,5.9
1000723,84.660484,-69.092300,3572.02,1222.41,24.75,30.5
1000724,84.660416,-69.075348,3574.90,2787.28,19.26,1.0
1000725,84.660347,-69.073875,3577.31,2923.17,19.68,4.1
1000726,84.660294,-69.071556,3579.12,3136.94,21.40,24.0
1000727,84.660271,-69.086266,3579.25,1779.42,23.47,39.7
1000728,84.660179,-69.074951,3582.77,2823.75,19.26,2.9
1000729,84.660049,-69.080399,3586.78,2321.24,19.94,0.3
1000730,84.659996,-69.074921,3588.96,2826.31,20.32,3.8
1000731,84.659790,-69.069756,3595.98,3303.40,19.20,2.7
1000732,84.659767,-69.066788,3596.66,3577.23,19.70,2.5
1000733,84.659744,-69.074883,3597.21,2830.06,20.18,5.8
1000734,84.659691,-69.089561,3598.34,1475.38,20.52,1.7
1000735,84.658989,-69.082924,3621.61,2088.08,22.17,0.6
1000736,84.658951,-69.067070,3623.55,3550.84,18.77,1.4
1000737,84.658859,-69.074905,3626.27,2828.08,19.76,2.2
1000738,84.658844,-69.058945,3627.63,4301.43,21.72,13.1
1000739,84.658707,-69.091873,3630.65,1261.88,22.34,5.9
1000740,84.658699,-69.086540,3631.10,1753.67,19.73,2.4
1000741,84.658684,-69.085365,3631.58,1862.51,21.71,5.0
1000742,84.658691,-69.062119,3632.47,4007.90,22.99,4.7
1000743,84.658600,-69.083321,3634.56,2051.26,18.38,0.9
1000744,84.658585,-69.079453,3635.10,2407.95,19.43,1.1
1000745,84.658478,-69.099342,3637.63,572.68,24.29,7.1
1000746,84.658493,-69.083748,3637.91,2011.58,19.04,0.8
1000747,84.658379,-69.078346,3641.97,2510.09,18.55,0.4
1000748,84.658379,-69.077240,3642.07,2612.55,21.39,1.0
1000749,84.658318,-69.066971,3644.67,3560.39,19.47,2.3
1000750,84.658257,-69.094086,3645.24,1057.79,22.03,5.4
1000751,84.658272,-69.074478,3645.78,2867.52,21.33,0.4
1000752,84.658089,-69.079147,3651.44,2436.57,20.08,0.7
1000753,84.657990,-69.084244,3654.54,1966.07,21.83,1.3
1000754,84.657906,-69.082611,3657.31,2116.64,20.74,1.0
1000755,84.657898,-69.077019,3658.04,2632.59,18.76,2.2
1000756,84.657806,-69.086380,3660.41,1768.76,22.85,5.0
1000757,84.657768,-69.070023,3662.56,3278.44,20.98,24.2
1000758,84.657707,-69.076988,3664.28,2635.66,19.05,2.6
1000759,84.657646,-69.095444,3665.37,932.47,19.65,4.5
1000760,84.657661,-69.079666,3665.71,2388.58,21.89,0.5
1000761,84.657623,-69.079765,3666.90,2379.29,20.22,0.5
1000762,84.657616,-69.079567,3667.07,2397.83,20.19,0.0
1000763,84.657555,-69.076645,3669.30,2667.26,19.85,4.8
1000764,84.657532,-69.071785,3670.30,3115.98,19.97,3.7
1000765,84.657448,-69.081039,3672.64,2261.40,20.75,0.4
1000766,84.657280,-69.090721,3677.51,1367.96,20.54,1.9
1000767,84.657219,-69.088730,3679.62,1551.74,18.43,1.7
1000768,84.657112,-69.068497,3684.24,3419.17,20.48,0.2
1000769,84.656937,-69.079079,3689.43,2442.78,20.27,1.8
1000770,84.656807,-69.068436,3694.40,3425.30,18.94,2.5
1000771,84.656792,-69.079422,3694.40,2410.85,19.57,3.9
1000772,84.656723,-69.103989,3695.27,143.20,21.41,13.6
1000773,84.656624,-69.092201,3699.18,1231.54,22.50,2.4
1000774,84.656601,-69.061073,3701.49,4104.67,22.58,6.2
1000775,84.656532,-69.078583,3702.80,2488.69,20.25,6.0
1000776,84.656509,-69.082016,3703.55,2171.36,19.67,4.3
1000777,84.656403,-69.069618,3707.57,3315.72,18.41,1.4
1000778,84.656311,-69.079170,3710.26,2434.08,18.79,1.9
1000779,84.656265,-69.061584,3712.57,4057.28,22.14,31.9
1000780,84.656197,-69.101639,3712.75,360.47,23.17,5.4
1000781,84.656151,-69.099304,3714.24,575.83,20.81,5.5
1000782,84.656143,-69.092125,3715.02,1238.28,21.22,8.0
1000783,84.656044,-69.068695,3719.50,3401.05,21.16,1.3
1000784,84.655952,-69.086281,3721.67,1778.13,19.73,4.3
1000785,84.655983,-69.064262,3721.78,3809.96,19.66,4.6
1000786,84.655945,-69.083008,3722.05,2079.95,19.55,1.3
1000787,84.655937,-69.081917,3722.21,2180.59,21.07,1.5
1000788,84.655869,-69.075821,3724.87,2743.16,20.37,4.3
1000789,84.655777,-69.092400,3726.97,1212.81,22.33,6.2
1000790,84.655807,-69.066071,3727.27,3643.27,19.76,3.1
1000791,84.655746,-69.093307,3728.11,1129.08,21.71,1.3
1000792,84.655663,-69.083755,3731.30,2010.95,20.25,1.9
1000793,84.655579,-69.074478,3734.46,2867.22,18.64,1.9
1000794,84.655518,-69.078712,3736.20,2476.33,19.52,1.0
1000795,84.655487,-69.072128,3737.63,3084.07,22.05,31.2
1000796,84.655434,-69.085846,3738.67,1818.23,22.75,2.6
1000797,84.655457,-69.064255,3739.05,3810.99,19.01,2.7
1000798,84.655350,-69.079872,3741.78,2369.42,19.32,1.7
1000799,84.655327,-69.072990,3742.79,3004.40,18.62,1.7
1000800,84.655296,-69.069984,3744.01,3282.40,20.18,2.6
1000801,84.655273,-69.080772,3744.23,2286.15,19.21,1.3
1000802,84.655273,-69.075661,3744.43,2758.32,20.49,0.6
1000803,84.655190,-69.071877,3747.38,3107.30,18.74,1.8
1000804,84.655167,-69.077621,3747.85,2577.41,20.90,1.6
1000805,84.655136,-69.067398,3749.58,3521.01,18.44,1.7
1000806,84.654999,-69.080521,3753.32,2309.76,21.38,0.6
1000807,84.654922,-69.075569,3756.04,2766.68,20.46,3.4
1000808,84.654884,-69.070381,3757.56,3245.68,20.42,5.2
1000809,84.654762,-69.088371,3760.65,1585.09,20.83,4.5
1000810,84.654549,-69.084358,3767.84,1955.02,20.54,4.0
1000811,84.654518,-69.079559,3769.17,2398.40,20.66,3.9
1000812,84.654526,-69.073380,3769.37,2968.71,18.33,1.6
1000813,84.654434,-69.090027,3771.40,1432.34,20.52,2.1
1000814,84.654388,-69.084099,3773.29,1978.96,21.58,4.3
1000815,84.654335,-69.096519,3774.36,832.84,22.56,4.5
1000816,84.654152,-69.075058,3781.42,2813.86,20.77,5.6
1000817,84.654114,-69.080269,3782.42,2332.70,21.30,0.7
1000818,84.653969,-69.088585,3786.94,1564.86,21.71,12.8
1000819,84.653938,-69.069916,3788.84,3288.40,20.17,6.4
1000820,84.653839,-69.071907,3792.02,3104.67,18.14,1.3
1000821,84.653732,-69.074257,3795.48,2887.77,19.30,3.0
1000822,84.653740,-69.063492,3795.59,3881.38,21.27,1.8
1000823,84.653664,-69.080444,3797.21,2316.85,19.24,3.0
1000824,84.653656,-69.074814,3797.76,2835.98,21.36,3.0
1000825,84.653625,-69.089592,3798.15,1471.98,19.78,4.5
1000826,84.653603,-69.090256,3798.92,1410.66,19.83,3.1
1000827,84.653404,-69.082062,3805.90,2167.41,19.40,1.8
1000828,84.653381,-69.081345,3806.47,2233.63,19.26,2.5
1000829,84.653381,-69.065430,3807.36,3702.42,18.94,2.4
1000830,84.653305,-69.082657,3809.08,2112.60,21.59,5.0
1000831,84.653290,-69.073944,3809.89,2916.21,19.57,4.3
1000832,84.653252,-69.082314,3810.72,2143.88,21.44,1.2
1000833,84.653221,-69.092018,3811.15,1248.02,22.09,4.3
1000834,84.653244,-69.070465,3811.80,3237.88,20.98,0.8
1000835,84.653191,-69.097702,3812.03,723.80,20.72,6.3
1000836,84.652992,-69.099358,3818.26,570.57,19.31,0.2
1000837,84.652939,-69.093880,3820.34,1076.55,23.64,7.5
1000838,84.652916,-69.090927,3821.42,1349.11,24.60,16.2
1000839,84.652885,-69.100014,3821.79,510.08,23.42,39.2
1000840,84.652885,-69.097023,3822.03,786.11,18.64,1.9
1000841,84.652832,-69.088867,3824.15,1538.99,22.41,13.1
1000842,84.652832,-69.078316,3824.95,2513.39,21.23,0.0
1000843,84.652794,-69.081108,3826.06,2255.28,20.51,2.3
1000844,84.652748,-69.064171,3828.47,3818.53,20.12,6.3
1000845,84.652634,-69.081200,3831.14,2247.19,21.82,12.4
